rate_date,currency,rate_to_usd
2025-01-01,EUR,1.079
2025-01-01,VND,3.937e-05
2025-01-01,USD,1.0
2025-01-02,EUR,1.0787
2025-01-02,VND,3.93e-05
2025-01-02,USD,1.0
2025-01-03,EUR,1.0745
2025-01-03,VND,3.983e-05
2025-01-03,USD,1.0
2025-01-04,EUR,1.0791
2025-01-04,VND,3.962e-05
2025-01-04,USD,1.0
2025-01-05,EUR,1.0817
2025-01-05,VND,3.903e-05
2025-01-05,USD,1.0
2025-01-06,EUR,1.0804
2025-01-06,VND,3.921e-05
2025-01-06,USD,1.0
2025-01-07,EUR,1.0793
2025-01-07,VND,3.922e-05
2025-01-07,USD,1.0
2025-01-08,EUR,1.0735
2025-01-08,VND,3.944e-05
2025-01-08,USD,1.0
2025-01-09,EUR,1.0859
2025-01-09,VND,3.934e-05
2025-01-09,USD,1.0
2025-01-10,EUR,1.0768
2025-01-10,VND,3.931e-05
2025-01-10,USD,1.0
2025-01-11,EUR,1.0814
2025-01-11,VND,3.931e-05
2025-01-11,USD,1.0
2025-01-12,EUR,1.0774
2025-01-12,VND,3.914e-05
2025-01-12,USD,1.0
2025-01-13,EUR,1.0811
2025-01-13,VND,3.954e-05
2025-01-13,USD,1.0
2025-01-14,EUR,1.0828
2025-01-14,VND,3.956e-05
2025-01-14,USD,1.0
2025-01-15,EUR,1.0804
2025-01-15,VND,3.911e-05
2025-01-15,USD,1.0
2025-01-16,EUR,1.074
2025-01-16,VND,3.943e-05
2025-01-16,USD,1.0
2025-01-17,EUR,1.0753
2025-01-17,VND,3.925e-05
2025-01-17,USD,1.0
2025-01-18,EUR,1.0778
2025-01-18,VND,3.926e-05
2025-01-18,USD,1.0
2025-01-19,EUR,1.0708
2025-01-19,VND,3.967e-05
2025-01-19,USD,1.0
2025-01-20,EUR,1.0945
2025-01-20,VND,3.933e-05
2025-01-20,USD,1.0
2025-01-21,EUR,1.0759
2025-01-21,VND,3.962e-05
2025-01-21,USD,1.0
2025-01-22,EUR,1.082
2025-01-22,VND,3.908e-05
2025-01-22,USD,1.0
2025-01-23,EUR,1.0831
2025-01-23,VND,3.955e-05
2025-01-23,USD,1.0
2025-01-24,EUR,1.0835
2025-01-24,VND,3.906e-05
2025-01-24,USD,1.0
2025-01-25,EUR,1.0734
2025-01-25,VND,3.95e-05
2025-01-25,USD,1.0
2025-01-26,EUR,1.0871
2025-01-26,VND,3.91e-05
2025-01-26,USD,1.0
2025-01-27,EUR,1.0847
2025-01-27,VND,3.918e-05
2025-01-27,USD,1.0
2025-01-28,EUR,1.0782
2025-01-28,VND,3.896e-05
2025-01-28,USD,1.0
2025-01-29,EUR,1.0781
2025-01-29,VND,3.931e-05
2025-01-29,USD,1.0
2025-01-30,EUR,1.0827
2025-01-30,VND,3.943e-05
2025-01-30,USD,1.0
2025-01-31,EUR,1.0798
2025-01-31,VND,3.941e-05
2025-01-31,USD,1.0
2025-02-01,EUR,1.0757
2025-02-01,VND,3.912e-05
2025-02-01,USD,1.0
2025-02-02,EUR,1.0803
2025-02-02,VND,3.936e-05
2025-02-02,USD,1.0
2025-02-03,EUR,1.0803
2025-02-03,VND,3.95e-05
2025-02-03,USD,1.0
2025-02-04,EUR,1.0764
2025-02-04,VND,3.931e-05
2025-02-04,USD,1.0
2025-02-05,EUR,1.075
2025-02-05,VND,3.934e-05
2025-02-05,USD,1.0
2025-02-06,EUR,1.0858
2025-02-06,VND,3.953e-05
2025-02-06,USD,1.0
2025-02-07,EUR,1.0796
2025-02-07,VND,3.927e-05
2025-02-07,USD,1.0
2025-02-08,EUR,1.0807
2025-02-08,VND,3.933e-05
2025-02-08,USD,1.0
2025-02-09,EUR,1.074
2025-02-09,VND,3.938e-05
2025-02-09,USD,1.0
2025-02-10,EUR,1.074
2025-02-10,VND,3.926e-05
2025-02-10,USD,1.0
2025-02-11,EUR,1.0704
2025-02-11,VND,3.946e-05
2025-02-11,USD,1.0
2025-02-12,EUR,1.0733
2025-02-12,VND,3.964e-05
2025-02-12,USD,1.0
2025-02-13,EUR,1.0824
2025-02-13,VND,3.911e-05
2025-02-13,USD,1.0
2025-02-14,EUR,1.0859
2025-02-14,VND,3.949e-05
2025-02-14,USD,1.0
2025-02-15,EUR,1.0733
2025-02-15,VND,3.955e-05
2025-02-15,USD,1.0
2025-02-16,EUR,1.0748
2025-02-16,VND,3.921e-05
2025-02-16,USD,1.0
2025-02-17,EUR,1.0751
2025-02-17,VND,3.944e-05
2025-02-17,USD,1.0
2025-02-18,EUR,1.078
2025-02-18,VND,3.951e-05
2025-02-18,USD,1.0
2025-02-19,EUR,1.0687
2025-02-19,VND,3.945e-05
2025-02-19,USD,1.0
2025-02-20,EUR,1.0729
2025-02-20,VND,3.962e-05
2025-02-20,USD,1.0
2025-02-21,EUR,1.0793
2025-02-21,VND,3.909e-05
2025-02-21,USD,1.0
2025-02-22,EUR,1.0759
2025-02-22,VND,3.944e-05
2025-02-22,USD,1.0
2025-02-23,EUR,1.0837
2025-02-23,VND,3.932e-05
2025-02-23,USD,1.0
2025-02-24,EUR,1.085
2025-02-24,VND,3.946e-05
2025-02-24,USD,1.0
2025-02-25,EUR,1.081
2025-02-25,VND,3.909e-05
2025-02-25,USD,1.0
2025-02-26,EUR,1.0777
2025-02-26,VND,3.936e-05
2025-02-26,USD,1.0
2025-02-27,EUR,1.0723
2025-02-27,VND,3.946e-05
2025-02-27,USD,1.0
2025-02-28,EUR,1.0904
2025-02-28,VND,3.917e-05
2025-02-28,USD,1.0
2025-03-01,EUR,1.0812
2025-03-01,VND,3.933e-05
2025-03-01,USD,1.0
2025-03-02,EUR,1.0711
2025-03-02,VND,3.924e-05
2025-03-02,USD,1.0
2025-03-03,EUR,1.0713
2025-03-03,VND,3.933e-05
2025-03-03,USD,1.0
2025-03-04,EUR,1.0852
2025-03-04,VND,3.919e-05
2025-03-04,USD,1.0
2025-03-05,EUR,1.0738
2025-03-05,VND,3.947e-05
2025-03-05,USD,1.0
2025-03-06,EUR,1.0795
2025-03-06,VND,3.955e-05
2025-03-06,USD,1.0
2025-03-07,EUR,1.0798
2025-03-07,VND,3.944e-05
2025-03-07,USD,1.0
2025-03-08,EUR,1.0883
2025-03-08,VND,3.939e-05
2025-03-08,USD,1.0
2025-03-09,EUR,1.077
2025-03-09,VND,3.925e-05
2025-03-09,USD,1.0
2025-03-10,EUR,1.0807
2025-03-10,VND,3.93e-05
2025-03-10,USD,1.0
2025-03-11,EUR,1.0776
2025-03-11,VND,3.921e-05
2025-03-11,USD,1.0
2025-03-12,EUR,1.082
2025-03-12,VND,3.92e-05
2025-03-12,USD,1.0
2025-03-13,EUR,1.0805
2025-03-13,VND,3.93e-05
2025-03-13,USD,1.0
2025-03-14,EUR,1.0869
2025-03-14,VND,3.929e-05
2025-03-14,USD,1.0
2025-03-15,EUR,1.0866
2025-03-15,VND,3.936e-05
2025-03-15,USD,1.0
2025-03-16,EUR,1.0847
2025-03-16,VND,3.963e-05
2025-03-16,USD,1.0
2025-03-17,EUR,1.0748
2025-03-17,VND,3.994e-05
