event_id,customer_id,event_time,plan_mrr,currency,event_type
EVT_01592,CUST_0101,2025-09-14 19:37:00,29,USD,upgrade
EVT_00944,CUST_0116,2025-05-13 06:34:00,99,USD,cancel
EVT_00870,CUST_0068,2025-07-05 02:04:00,999,USD,upgrade
EVT_00163,CUST_0033,2025-06-11 20:43:00,2514600,VND,downgrade
EVT_01272,CUST_0054,2025-04-08 11:13:00,0,EUR,upgrade
EVT_00071,CUST_0076,2025-12-23 10:11:00,29,EUR,upgrade
EVT_00248,CUST_0119,2025-01-12 13:08:00,29,USD,upgrade
EVT_00323,CUST_0013,2025-03-21 12:50:00,29,EUR,downgrade
EVT_01660,CUST_0005,2025-07-08 05:50:00,29,EUR,upgrade
EVT_01005,CUST_0061,2025-07-22 13:00:00,29,USD,upgrade
EVT_01663,CUST_0067,2025-08-08 08:28:00,29,EUR,cancel
EVT_00910,CUST_0099,2025-07-31 16:35:00,99,EUR,signup
EVT_01226,CUST_0023,2025-06-02 11:09:00,29,EUR,cancel
EVT_00902,CUST_0060,2025-08-24 11:13:00,29,USD,downgrade
EVT_00592,CUST_0097,2025-01-16 00:57:00,0,USD,signup
EVT_01274,CUST_0012,2025-04-16 18:40:00,99,EUR,upgrade
EVT_00555,CUST_0028,2025-06-10 17:26:00,7594600,VND,upgrade
EVT_01062,CUST_0058,2025-01-17 10:19:00,29,USD,signup
EVT_00530,CUST_0022,2025-06-11 13:43:00,29,USD,upgrade
EVT_01720,CUST_0050,2025-08-17 23:07:00,7594600,VND,cancel
EVT_00722,CUST_0069,2025-12-01 14:01:00,29,USD,cancel
EVT_00562,CUST_0018,2025-04-25 20:17:00,0,USD,signup
EVT_00539,CUST_0120,2025-03-17 10:42:00,0,USD,upgrade
EVT_01254,CUST_0056,2025-01-24 08:14:00,299,USD,upgrade
EVT_00496,CUST_0089,2025-07-12 00:50:00,29,USD,upgrade
EVT_00651,CUST_0027,2025-11-30 21:16:00,99,USD,upgrade
EVT_00716,CUST_0032,2025-06-07 05:08:00,0,USD,signup
EVT_00531,CUST_0068,2025-02-13 12:57:00,29,USD,upgrade
EVT_01574,CUST_0032,2025-01-31 05:28:00,999,USD,signup
EVT_01583,CUST_0064,2025-02-12 14:29:00,7594600,VND,signup
EVT_01724,CUST_0032,2025-06-03 20:37:00,299,USD,downgrade
EVT_01299,CUST_0007,2025-01-29 10:53:00,299,USD,upgrade
EVT_00472,CUST_0096,2025-12-04 10:37:00,0,USD,upgrade
EVT_01345,CUST_0012,2025-11-08 05:04:00,99,USD,upgrade
EVT_00290,CUST_0080,2025-11-07 00:23:00,736600,VND,upgrade
EVT_01562,CUST_0114,2025-10-20 10:46:00,999,EUR,upgrade
EVT_01634,CUST_0105,2025-07-08 18:03:00,0,USD,signup
EVT_00620,CUST_0056,2025-08-13 09:54:00,2514600,VND,downgrade
EVT_01428,CUST_0115,2025-10-02 19:04:00,29,USD,downgrade
EVT_00661,CUST_0078,2025-03-15 13:40:00,99,USD,upgrade
EVT_01487,CUST_0024,2025-08-06 11:47:00,736600,VND,cancel
EVT_01356,CUST_0109,2025-10-13 13:20:00,29,EUR,upgrade
EVT_01741,CUST_0024,2025-03-20 12:27:00,29,USD,upgrade
EVT_00353,CUST_0089,2025-08-18 10:39:00,29,EUR,upgrade
EVT_00552,CUST_0117,2025-05-25 08:16:00,299,USD,cancel
EVT_00066,CUST_0102,2025-04-05 00:33:00,0,EUR,upgrade
EVT_01349,CUST_0089,2025-08-08 04:42:00,25374600,VND,upgrade
EVT_00325,CUST_0072,2025-11-18 06:16:00,0,EUR,downgrade
EVT_01135,CUST_0095,2025-10-29 16:20:00,29,USD,signup
EVT_01644,CUST_0065,2025-12-22 23:43:00,0,USD,downgrade
EVT_00252,CUST_0046,2025-09-29 04:40:00,29,USD,downgrade
EVT_01354,CUST_0036,2025-09-03 14:32:00,0,USD,upgrade
EVT_00611,CUST_0055,2025-05-22 18:14:00,736600,VND,downgrade
EVT_01371,CUST_0024,2025-08-02 21:54:00,736600,VND,downgrade
EVT_00679,CUST_0023,2025-12-26 01:18:00,99,USD,upgrade
